Repo	Domain	数据安全	权限范围	网络请求	依赖来源	SecurityVerdict	Function1_Name	Function1_Score(1-5)	Function2_Name	Function2_Score(1-5)	DepthScore(1-5)	Threshold	ExclusionReason	Integration_集成难度(1-5)	Integration_MCP兼容(1-5)	Integration_冲突风险(1-5)	Integration_维护成本(1-5)	Integration_上下文依赖(1-5)	Integration_小计	Coverage_Stages	Coverage_Description
Boom5426/Nature-Paper-Skills	学术写作	PASS	PASS	PASS	PASS	APPROVED	Journal-Specific	4.0	Academic Writing	3.5	4.0	AUTO-RECOMMEND	N/A	3	3	3	3	3	12	写作,图表,修订,投稿	专注Nature Portfolio生命科学/计算生物学论文，流程完整但覆盖度较窄。
yy/claude-scholar	引用管理	PASS	PASS	PASS	PASS	APPROVED	Citation Management	4.0	Academic Writing	3.5	4.0	AUTO-RECOMMEND	N/A	3	4	2	2	3	11	文献检索,引文管理,LaTeX检查,数学验证,预提交检查	文献检索（arXiv/OpenAlex）、引文管理（BibTeX/DOI）、LaTeX清理，数学验证、预提交检查、无障碍PDF生成。
ComposioHQ/awesome-claude-skills	Skills索引	PASS	PASS	PASS	PASS	APPROVED	Research Tool/Framework	3.0	Workflow Orchestration	2.5	3.0	CANDIDATE	N/A	1	5	1	1	1	8	目录型：11类500+ Skills索引	11大类别500+ Skills索引（文档处理/开发/数据/商业/创意/通信/媒体/效率/协作/安全/应用自动化），覆盖全面但仅作目录。
anthropics/skills	Skills框架	PASS	PASS	PASS	PASS	APPROVED	Research Tool/Framework	4.0	Academic Writing	3.0	4.0	AUTO-RECOMMEND	N/A	3	5	2	2	3	12	文档,开发,创意,企业	官方Skills示例（创意/设计/开发/企业/文档），提供标准模板和规范，是Claude Skills生态的参考基准。
Lylll9436/Paper-Polish-Workflow-skill	学术写作	PASS	PASS	PASS	PASS	APPROVED	Academic Writing	4.0	Literature Search	3.5	4.0	AUTO-RECOMMEND	N/A	4	5	3	3	4	15	翻译,润色,去AI化,审稿,Repo-to-Paper,投稿准备	完整论文润色流程：翻译→润色→去AI化→审稿人模拟→Repo-to-Paper→摘要→Cover Letter→实验分析→图表描述→逻辑检查→文献搜索→可视化推荐。
DeepXiv/deepxiv_sdk	文献检索	PASS	PASS	PASS	PASS	APPROVED	Literature Search	4.0	Figure Generation	3.0	4.0	AUTO-RECOMMEND	N/A	4	4	2	3	4	13	搜索,评估,渐进式阅读,元数据提取	Agent-first文献阅读工具，渐进式内容访问（--brief/--head/--section），趋势+热度信号，多源搜索，Python API + CLI。专注研究阅读而非写作。
K-Dense-AI/claude-scientific-writer	科学写作	PASS	PASS	PASS	PASS	APPROVED	Academic Writing	4.0	Figure Generation	3.5	4.0	AUTO-RECOMMEND	N/A	4	3	3	4	4	14	研究搜索,写作,图表生成,同行评审,格式转换	综合科学研究写作工具：Nature/Science/NeurIPS等期刊论文、临床报告、研究海报、NSF/NIH基金申请书、文献综述、ScholarEval同行评审、实时研究搜索。
bengous/claude-code-plugins	开发工作流	PASS	PASS	PASS	PASS	APPROVED	Workflow Orchestration	3.5	Research Tool/Framework	3.0	3.5	CANDIDATE	非学术专注	4	3	4	4	3	14	开发工作流（非学术）	开发工作流工具集：并行多Agent编排、Git工具（提交/重写/PR/Issue）、代码质量、文档同步。专注开发而非学术研究。
SpillwaveSolutions/design-doc-mermaid	技术图表	PASS	PASS	PASS	PASS	APPROVED	Figure Generation	3.5	Academic Writing	2.0	3.5	CANDIDATE	学术深度有限	2	2	2	2	2	8	技术文档图表（Mermaid）	Mermaid图表工具：活动/部署/架构/序列图、代码转图表、Markdown图表提取/验证/转换。专注技术文档图表，学术图表能力有限。
luwill/research-skills	医学影像	PASS	PASS	PASS	PASS	APPROVED	Medical Research	4.0	Literature Review	3.5	4.0	AUTO-RECOMMEND	N/A	4	3	3	3	4	13	综述,提案,幻灯片,多Agent综述系统	医学影像AI专项工具：综述写作（7阶段）、研究提案生成（Nature Reviews风格）、论文转幻灯片、5Agent多语言综述系统。
nicholash84/Claude-Scientific-Skills	科学技能	PASS	PASS	PASS	PASS	APPROVED	Academic Writing	3.5	Figure Generation	3.0	3.5	CANDIDATE	信息有限,深度存疑	3	2	2	3	3	10	通用科学技能（写作/图表）	通用科学技能集，能力描述模糊，详细信息有限。覆盖科学写作和图表，但专业深度存疑。
kthorn/research-superpower	文献综述	PASS	PASS	PASS	PASS	APPROVED	Literature Search	4.0	Literature Review	3.5	4.0	AUTO-RECOMMEND	N/A	3	2	2	2	3	9	8步综述流程	系统化文献综述工具：8步工作流、PubMed+Semantic Scholar+ChEMBL集成、智能筛选、引用遍历，大规模并行处理。
affaan-m/everything-claude-code	Agent优化	PASS	PASS	PASS	PASS	APPROVED	Research Tool/Framework	4.5	Workflow Orchestration	4.0	4.5	AUTO-RECOMMEND	N/A	4	5	4	4	4	17	Agent Harness优化	Claude Code终极增强系统：181个Skills、47个子代理、34条规则、8类生命周期Hooks、AgentShield、/fork并行工作流、多模型分级、持久化记忆。
Awesome-Agent-Skills-for-Empirical-Research	社会科学索引	PASS	PASS	PASS	PASS	APPROVED	Research Tool/Framework	3.0	Academic Writing	2.0	3.0	CANDIDATE	N/A	1	3	1	1	1	6	目录型：23,000+ skills	社会科学实证研究Agent Skills目录：23,000+ skills索引，覆盖社会科学家研究全流程。目录性质，实际能力取决于选中skill。
ScienceClaw/ScienceClaw	自进化研究	PASS	PASS	PASS	PASS	APPROVED	Research Tool/Framework	4.0	Medical Research	3.5	4.0	AUTO-RECOMMEND	N/A	4	3	3	4	4	14	20+学科	自进化AI研究平台：285个skills持续进化、运行时创建专业skills、四层持久化记忆（带时间衰减和LanceDB向量存储）、1小时长会话、零幻觉引文。
xjtulyc/MedgeClaw	生物医药AI	PASS	PASS	PASS	PASS	APPROVED	Medical Research	4.0	Academic Writing	3.5	4.0	AUTO-RECOMMEND	N/A	4	3	3	4	4	14	生物医药：RNA-seq,药物发现,临床分析	生物医药AI研究助手：RNA-seq分析、药物发现、临床分析、K-Dense科学skills集成、论文复现、学术写作。Docker容器化部署。
Master-cai/Research-Paper-Writing-Skills	ML/CV/NLP写作	PASS	PASS	PASS	PASS	APPROVED	Academic Writing	3.5	Figure Generation	2.5	3.5	CANDIDATE	N/A	3	2	2	3	3	10	ML/CV/NLP论文写作	ML/CV/NLP论文写作专项：基于Peng Sida教授课程改编，覆盖机器学习/计算机视觉/自然语言处理论文写作。领域专精但覆盖范围有限。
scholar_mcp_server	学术检索	PASS	PASS	PASS	PASS	APPROVED	Literature Search	3.5	Citation Management	3.0	3.5	CANDIDATE	N/A	3	5	2	3	2	12	6数据库并行搜索	Go语言MCP学术服务器：6大数据库集成（arXiv/Semantic Scholar/PubMed等）、并行搜索、去重、引用和作者图谱。轻量级学术检索工具。
xingyulu23/Academix	学术检索	PASS	PASS	PASS	PASS	APPROVED	Literature Search	4.0	Citation Management	3.5	4.0	AUTO-RECOMMEND	N/A	3	5	2	3	3	13	5数据库聚合,智能ID解析,BibTeX,引文分析	学术论文搜索与引文分析MCP：5大数据库聚合、DOI/arXiv/OpenAlex/SS/DBLP智能ID解析、BibTeX质量排名、引文网络可视化、AI推荐、异步并发。
get-research-done	生物医学研究	PASS	PASS	PASS	PASS	APPROVED	Medical Research	4.0	Research Tool/Framework	3.5	4.0	AUTO-RECOMMEND	N/A	3	3	3	3	4	13	生物医学研究全生命周期	生物医学研究生命周期管理：从文献检索到数据分析的研究全流程支持。专注生物医学领域。
scientify	OpenClaw研究	PASS	PASS	PASS	PASS	APPROVED	Research Tool/Framework	4.0	Workflow Orchestration	3.5	4.0	AUTO-RECOMMEND	N/A	4	4	3	4	4	15	OpenClaw科研工作流：5700+ skills,9大领域	OpenClaw科研工作流加速器：5700+科研skills，覆盖生物信息/化学药物/临床医学/数据科学/论文写作等9大领域。完整的研究到发表工作流。
ResearchMCP	Perplexity研究	PASS	PASS	PASS	PASS	APPROVED	Literature Search	3.5	Academic Writing	2.5	3.5	CANDIDATE	N/A	3	5	2	3	2	12	Perplexity AI研究检索	Perplexity AI研究MCP：互联网研究能力，结构化日志，优雅降级。轻量级研究辅助，非深度学术工具。
openalex-research-mcp	OpenAlex研究	PASS	PASS	PASS	PASS	APPROVED	Literature Search	4.0	Citation Management	3.5	4.0	AUTO-RECOMMEND	N/A	3	5	2	3	3	13	240M+作品,31工具,期刊/机构预设	OpenAlex研究MCP：240M+学术作品访问、31个专用工具、内存缓存+重试逻辑、UTD24/FT50/AJG等级期刊预设、常春藤盟校机构预设。
research-workflow-assistant	VS Code研究	PASS	PASS	PASS	PASS	APPROVED	Research Tool/Framework	3.0	Academic Writing	2.5	3.0	CANDIDATE	N/A	3	4	3	4	2	13	VS Code研究助手	VS Code研究工作流助手：为VS Code提供AI研究辅助，集成研究工作流。基础能力，详情有限。
dev-scholar	研究加速器	PASS	PASS	PASS	PASS	APPROVED	Research Tool/Framework	3.0	Academic Writing	2.5	3.0	CANDIDATE	N/A	3	3	2	3	2	10	研究工作流加速器	研究工作流加速器：4 stars，能力详情有限。基础研究辅助工具。
beita6969/ScienceClaw	ScienceClaw Fork	PASS	PASS	PASS	PASS	APPROVED	Research Tool/Framework	3.5	Medical Research	3.0	3.5	CANDIDATE	fork同步风险	4	3	3	4	4	14	ScienceClaw fork：专利,临床,计算病理等专项	ScienceClaw fork版本：专利分析/临床试验/计算病理学等专项skills。功能继承自上游，但维护状态和同步情况需确认。
